# Accelerometer Data File
# Started @Tue Apr 26 12:52:50 MESZ 2016
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.019140625m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
0.114 7.738 5.018 10
0.153 7.814 5.075 0
0.153 7.814 5.075 10
0.134 7.853 5.114 0
0.134 7.853 5.114 10
0.095 7.776 5.037 10
0.134 7.795 5.037 10
0.172 7.776 4.999 10
0.134 7.776 4.98 0
0.134 7.776 4.98 10
0.172 7.795 5.075 9
0.153 7.795 5.018 1
0.153 7.795 5.018 10
0.114 7.776 5.114 0
0.114 7.776 5.114 10
0.114 7.738 5.095 0
0.114 7.738 5.095 10
0.153 7.738 5.095 10
0.114 7.776 5.133 10
0.153 7.795 4.98 10
0.134 7.834 4.922 9
0.134 7.814 4.826 0
0.134 7.814 4.826 10
0.114 7.795 4.98 10
0.114 7.814 4.999 1
0.114 7.814 4.999 10
0.134 7.814 5.037 2
0.134 7.814 5.037 10
0.114 7.834 4.98 7
0.134 7.834 4.884 10
0.134 7.814 4.999 1
0.134 7.814 4.999 10
0.134 7.757 5.056 9
0.172 7.795 4.922 1
0.172 7.795 4.922 10
0.153 7.795 4.903 0
0.153 7.795 4.903 10
0.153 7.795 4.884 10
0.134 7.795 4.96 10
0.153 7.834 4.98 0
0.153 7.834 4.98 10
0.114 7.814 4.922 0
0.114 7.814 4.922 10
0.134 7.853 4.846 10
0.095 7.814 4.884 0
0.095 7.814 4.884 10
0.153 7.814 4.96 9
0.153 7.814 5.095 1
0.153 7.814 5.095 10
0.095 7.814 5.056 0
0.095 7.814 5.056 10
0.095 7.814 4.999 9
0.134 7.795 4.98 1
0.134 7.795 4.98 10
0.114 7.776 4.96 0
0.114 7.776 4.96 10
0.134 7.795 4.98 0
0.134 7.795 4.98 10
0.134 7.795 4.941 0
0.134 7.795 4.941 10
0.134 7.834 4.884 9
0.114 7.853 4.846 1
0.114 7.853 4.846 10
0.114 7.834 4.941 0
0.114 7.834 4.941 10
0.153 7.834 5.075 0
0.153 7.834 5.075 10
0.134 7.814 5.037 10
0.153 7.814 4.999 9
0.114 7.834 4.96 1
0.114 7.834 4.96 10
0.114 7.795 4.98 9
0.134 7.776 5.114 10
0.095 7.814 4.999 1
0.095 7.814 4.999 10
0.134 7.814 4.999 10
0.095 7.814 4.96 0
0.095 7.814 4.96 10
0.095 7.814 5.037 9
0.095 7.814 5.095 1
0.095 7.814 5.095 10
0.114 7.834 4.999 0
0.114 7.834 4.999 10
0.095 7.814 4.96 9
0.095 7.776 4.941 1
0.095 7.776 4.941 10
0.114 7.795 4.941 9
0.153 7.776 5.056 1
0.153 7.776 5.056 10
0.172 7.776 4.96 0
0.172 7.776 4.96 10
0.134 7.776 4.96 10
0.153 7.795 4.96 0
0.153 7.795 4.96 10
0.153 7.834 4.922 10
0.134 7.834 4.98 0
0.134 7.834 4.98 10
0.134 7.91 4.941 0
0.134 7.91 4.941 10
0.153 7.853 4.903 9
0.134 7.853 4.96 1
0.134 7.853 4.96 10
0.095 7.834 4.999 0
0.095 7.834 4.999 10
0.114 7.795 5.075 9
0.172 7.776 4.922 1
0.172 7.776 4.922 10
0.172 7.738 4.884 0
0.172 7.738 4.884 10
0.21 7.795 4.807 0
