# Accelerometer Data File
# Started @Sat May 21 12:11:07 MESZ 2016
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.019140625m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
0.076 2.566 8.581 0
-0.038 1.8 10.113 0
-0.038 1.8 10.113 10
0.517 1.589 10.285 10
1.187 1.896 9.768 0
1.187 1.896 9.768 10
0.555 1.474 9.289 0
0.555 1.474 9.289 10
0.363 2.03 8.983 0
0.363 2.03 8.983 10
0.21 2.317 8.945 10
0.306 2.432 8.81 0
0.306 2.432 8.81 10
0.44 2.336 8.83 10
0.498 2.355 8.619 0
0.498 2.355 8.619 10
0.727 2.279 8.715 10
0.766 2.126 9.117 10
0.996 2.164 9.423 0
0.996 2.164 9.423 10
1.072 2.164 9.443 10
0.766 2.145 9.098 0
0.766 2.145 9.098 10
0.172 2.547 8.753 0
0.172 2.547 8.753 10
-0.517 2.528 7.834 9
0.172 2.643 7.738 1
0.172 2.643 7.738 10
0.44 2.585 8.638 10
-0.057 2.853 8.964 0
-0.057 2.853 8.964 10
-0.268 2.815 8.791 10
-0.287 2.7 8.542 10
-0.21 2.643 8.523 0
-0.21 2.643 8.523 10
-0.344 2.739 8.906 10
-0.363 2.777 9.098 0
-0.363 2.777 9.098 10
-0.383 2.7 9.328 10
-0.306 2.624 9.692 10
-0.344 2.681 9.653 0
-0.344 2.681 9.653 10
-0.325 2.739 9.289 0
-0.325 2.739 9.289 10
-0.306 2.834 9.079 10
-0.153 2.739 8.638 0
-0.153 2.739 8.638 10
0.019 2.739 8.523 9
-0.019 2.7 8.466 1
-0.019 2.7 8.466 10
0.478 3.486 8.772 10
0.402 3.428 8.274 0
0.402 3.428 8.274 10
0.957 3.658 5.267 0
0.957 3.658 5.267 10
0.44 4.175 3.332 0
0.44 4.175 3.332 10
-0.306 5.133 2.49 10
0.21 5.267 4.788 10
0.727 5.114 9.27 0
0.727 5.114 9.27 10
0.861 4.501 12.028 10
1.513 3.466 13.082 0
1.513 3.466 13.082 10
-4.539 3.754 10.573 10
-4.041 3.677 8.6 10
-2.336 2.394 6.32 0
-2.336 2.394 6.32 10
-2.432 2.049 6.129 10
-1.436 1.685 5.995 0
-1.436 1.685 5.995 10
-1.647 1.474 5.976 0
-1.647 1.474 5.976 10
-1.896 1.34 6.205 10
-1.877 1.436 5.995 10
-1.321 1.896 5.956 0
-1.321 1.896 5.956 10
-0.459 2.03 7.125 0
-0.459 2.03 7.125 10
-0.114 1.532 8.024 10
-0.019 1.149 7.987 10
-0.363 0.919 7.604 0
-0.363 0.919 7.604 10
-0.402 0.804 7.738 10
-0.057 0.766 8.043 10
0.268 0.517 8.945 0
0.268 0.517 8.945 10
1.034 0.478 10.247 10
1.225 0.383 10.285 0
1.225 0.383 10.285 10
1.494 0.249 10.017 0
1.494 0.249 10.017 10
1.915 -0.363 10.458 10
2.528 -0.632 11.645 0
2.528 -0.632 11.645 10
2.739 -0.383 12.871 0
2.739 -0.383 12.871 10
2.624 -0.191 13.082 10
2.509 -0.134 12.162 1
2.509 -0.134 12.162 10
2.145 0.0 10.879 9
1.8 0.191 11.856 0
1.8 0.191 11.856 10
1.762 -0.881 13.886 10
2.47 -1.417 13.963 0
2.47 -1.417 13.963 10
1.992 -1.11 10.898 0
1.992 -1.11 10.898 10
1.417 -0.402 8.791 9
1.474 0.229 7.278 1
1.474 0.229 7.278 10
1.896 0.727 7.106 9
2.643 1.398 7.68 1
2.643 1.398 7.68 10
2.662 1.494 7.987 10
2.164 1.321 8.062 10
1.934 1.398 7.642 0
1.934 1.398 7.642 10
2.087 1.302 8.466 0
2.087 1.302 8.466 10
3.792 1.13 7.68 10
2.126 0.9 7.987 0
2.126 0.9 7.987 10
1.685 1.379 9.308 0
1.685 1.379 9.308 10
2.279 0.957 9.902 0
2.279 0.957 9.902 10
2.221 0.861 10.764 10
2.336 1.015 10.381 0
2.336 1.015 10.381 10
2.375 1.072 9.807 10
2.336 0.842 9.998 9
2.451 0.689 9.538 1
2.451 0.689 9.538 10
2.336 0.593 9.692 10
2.643 1.015 9.634 0
2.643 1.015 9.634 10
2.988 1.206 9.538 0
2.988 1.206 9.538 10
3.62 1.743 9.443 10
3.715 1.915 9.538 0
3.715 1.915 9.538 10
3.39 1.704 10.439 0
3.39 1.704 10.439 10
3.754 1.57 10.803 0
3.754 1.57 10.803 10
4.06 1.934 10.688 0
4.06 1.934 10.688 10
3.466 1.781 9.96 10
2.892 1.302 9.826 0
2.892 1.302 9.826 10
2.566 1.359 9.634 10
2.509 1.589 9.5 0
2.509 1.589 9.5 10
2.7 1.513 9.04 1
2.7 1.513 9.04 10
2.93 1.723 8.868 9
3.026 1.819 8.408 0
3.026 1.819 8.408 10
2.719 1.838 8.178 0
2.719 1.838 8.178 10
3.064 1.723 8.447 10
3.141 1.8 8.964 1
3.141 1.8 8.964 10
2.892 1.915 8.561 9
2.624 1.877 9.347 0
2.624 1.877 9.347 10
3.007 1.685 9.672 0
3.007 1.685 9.672 10
2.93 1.896 9.615 10
3.275 2.126 9.711 0
3.275 2.126 9.711 10
3.313 2.145 9.404 10
3.371 2.413 9.308 10
3.294 2.451 9.098 10
2.853 2.47 8.255 0
2.853 2.47 8.255 10
2.777 2.585 8.351 0
2.777 2.585 8.351 10
2.394 2.509 7.738 1
2.394 2.509 7.738 10
2.221 2.164 8.121 9
1.838 2.355 8.447 10
1.589 2.375 8.466 0
1.589 2.375 8.466 10
1.8 2.509 7.949 0
1.8 2.509 7.949 10
2.394 2.815 7.546 10
3.179 3.179 7.661 0
3.179 3.179 7.661 10
3.179 3.102 7.987 0
3.179 3.102 7.987 10
3.141 3.026 8.408 10
2.834 2.911 8.293 0
2.834 2.911 8.293 10
2.662 2.662 8.043 10
2.355 2.681 7.891 10
1.781 2.451 7.393 0
1.781 2.451 7.393 10
1.57 2.624 7.087 10
1.762 2.47 5.727 0
1.762 2.47 5.727 10
1.321 3.026 6.416 10
1.11 3.16 6.838 0
1.11 3.16 6.838 10
2.106 3.198 7.24 10
1.934 3.313 7.7 0
1.934 3.313 7.7 10
2.394 3.447 9.251 12
2.01 2.892 9.021 7
2.01 2.892 9.021 10
2.01 2.892 9.021 10
2.01 2.892 9.021 10
2.01 2.892 9.021 10
2.01 2.892 9.021 10
2.01 2.892 9.021 10
2.01 2.892 9.021 10
2.01 2.892 9.021 10
2.01 2.892 9.021 10
2.01 2.892 9.021 10
2.01 2.892 9.021 0
2.01 2.892 9.021 0
2.01 2.892 9.021 0
2.01 2.892 9.021 0
2.01 2.892 9.021 0
2.01 2.892 9.021 0
2.01 2.892 9.021 0
2.01 2.892 9.021 0
2.01 2.892 9.021 0
2.01 2.892 9.021 0
2.01 2.892 9.021 1
1.953 3.026 8.581 10
2.068 3.083 8.849 10
2.7 4.213 5.114 0
2.7 4.213 5.114 10
1.934 2.796 8.925 10
2.279 2.853 9.194 10
2.068 3.332 8.906 0
2.068 3.332 8.906 10
1.723 3.294 8.427 0
1.723 3.294 8.427 10
1.608 2.949 8.485 10
1.723 3.409 7.776 10
1.34 3.16 8.102 0
1.34 3.16 8.102 10
1.628 3.179 8.466 10
1.704 3.237 8.408 0
1.704 3.237 8.408 10
1.857 3.352 8.255 0
1.857 3.352 8.255 10
1.915 3.409 8.351 10
1.877 3.409 8.236 0
1.877 3.409 8.236 10
1.743 3.294 8.102 0
1.743 3.294 8.102 10
1.513 3.083 7.949 1
1.513 3.083 7.949 10
1.436 3.198 7.585 1
1.436 3.198 7.585 10
1.474 3.217 7.565 8
2.01 3.409 8.14 10
2.585 3.62 8.6 0
2.585 3.62 8.6 10
2.739 3.447 8.964 5
2.739 3.447 8.964 10
2.604 3.601 8.542 9
2.604 3.601 8.542 10
2.604 3.601 8.542 0
2.106 3.409 8.178 6
2.01 3.371 8.005 0
2.01 3.371 8.005 10
2.03 3.524 7.891 10
2.164 3.62 7.585 10
2.221 3.601 8.159 3
2.221 3.601 8.159 10
2.145 3.352 8.504 7
2.47 3.562 8.696 0
2.47 3.562 8.696 10
2.7 3.696 9.117 10
2.7 3.581 9.117 0
2.7 3.581 9.117 10
2.317 3.447 8.791 1
2.317 3.447 8.791 10
2.03 3.409 8.37 9
1.857 3.505 7.91 0
1.857 3.505 7.91 10
1.877 3.447 7.853 10
2.03 3.581 7.814 10
1.896 3.562 7.546 0
1.896 3.562 7.546 10
1.8 3.543 7.604 10
1.532 3.256 7.834 0
1.532 3.256 7.834 10
1.666 2.566 6.799 10
0.555 3.984 6.78 0
0.555 3.984 6.78 10
0.804 3.792 6.225 0
0.804 3.792 6.225 10
0.019 3.792 6.32 10
1.455 3.007 5.229 0
1.455 3.007 5.229 10
1.838 3.16 4.539 10
2.873 3.696 4.846 0
2.873 3.696 4.846 10
3.62 3.984 4.922 0
3.62 3.984 4.922 10
3.486 3.505 5.956 0
3.486 3.505 5.956 10
3.39 3.198 6.186 10
2.47 2.719 6.282 9
3.275 2.106 5.669 1
3.275 2.106 5.669 10
4.118 2.643 5.439 10
7.431 3.581 4.731 0
7.431 3.581 4.731 10
6.665 1.628 2.317 9
11.013 4.539 5.305 1
11.013 4.539 5.305 10
10.017 4.175 3.581 9
9.328 2.777 4.213 1
9.328 2.777 4.213 10
10.573 2.164 2.413 0
10.573 2.164 2.413 10
10.707 1.819 1.245 9
10.266 2.106 -2.03 1
10.266 2.106 -2.03 10
9.807 2.049 -4.041 9
8.906 2.106 -6.953 1
8.906 2.106 -6.953 10
8.561 1.264 -9.596 10
2.106 2.068 -12.124 0
2.106 2.068 -12.124 10
4.884 6.608 -12.354 10
10.994 6.186 -11.186 0
10.994 6.186 -11.186 10
17.047 4.539 -9.826 0
