# Accelerometer Data File
# Started @Sat May 21 12:15:54 MESZ 2016
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.019140625m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
0.421 5.075 7.202 10
0.689 5.42 7.106 0
0.689 5.42 7.106 10
4.213 6.129 5.669 10
1.091 8.293 6.378 1
1.091 8.293 6.378 10
1.877 6.301 10.285 9
0.9 6.263 7.412 0
0.9 6.263 7.412 10
0.823 7.221 7.336 10
1.896 6.742 7.24 0
1.896 6.742 7.24 10
1.743 6.359 7.202 0
1.743 6.359 7.202 10
1.436 6.244 7.221 10
1.245 6.493 7.431 10
1.455 6.78 7.623 0
1.455 6.78 7.623 10
1.589 7.048 7.929 10
1.417 7.067 8.043 0
1.417 7.067 8.043 10
1.877 6.914 7.929 10
2.126 6.876 7.834 0
2.126 6.876 7.834 10
1.608 6.799 7.508 0
1.608 6.799 7.508 10
1.704 6.838 7.355 1
1.704 6.838 7.355 10
1.417 6.684 7.929 9
1.877 6.55 7.374 0
1.877 6.55 7.374 10
1.915 6.627 6.953 0
1.915 6.627 6.953 10
2.47 6.799 7.048 2
2.47 6.799 7.048 10
2.547 6.569 7.489 8
2.777 6.857 6.474 1
2.777 6.857 6.474 10
2.432 6.684 6.282 9
2.106 6.32 6.014 0
2.106 6.32 6.014 10
1.877 6.071 5.573 2
1.877 6.071 5.573 10
1.743 5.995 5.765 8
1.704 6.416 5.88 0
1.704 6.416 5.88 10
1.762 6.569 5.899 0
1.762 6.569 5.899 10
1.608 6.301 5.803 10
1.743 6.244 5.842 2
1.743 6.244 5.842 10
1.819 6.301 5.956 8
1.857 6.454 6.225 0
1.857 6.454 6.225 10
1.704 6.435 6.263 0
1.704 6.435 6.263 10
1.743 6.416 6.301 10
1.398 6.435 6.474 1
1.398 6.435 6.474 10
1.302 6.378 6.454 9
1.359 6.225 6.416 10
1.245 6.129 6.34 0
1.245 6.129 6.34 10
1.187 6.014 5.976 1
1.187 6.014 5.976 10
1.168 6.071 6.301 0
1.168 6.071 6.301 10
1.015 6.301 6.148 9
1.283 6.397 5.937 0
1.283 6.397 5.937 10
1.34 6.416 4.769 1
1.34 6.416 4.769 10
0.804 5.822 4.846 10
0.612 5.784 3.773 1
0.612 5.784 3.773 10
0.517 5.937 4.079 8
0.976 6.071 4.367 1
0.976 6.071 4.367 10
1.877 6.282 4.75 10
2.298 6.32 5.037 9
2.566 5.344 7.202 2
2.566 5.344 7.202 10
2.566 5.344 7.202 10
2.566 5.344 7.202 10
2.566 5.344 7.202 10
2.566 5.344 7.202 10
2.566 5.344 7.202 10
2.566 5.344 7.202 10
2.566 5.344 7.202 10
2.566 5.344 7.202 10
2.566 5.344 7.202 10
2.566 5.344 7.202 0
2.566 5.344 7.202 0
2.566 5.344 7.202 0
2.566 5.344 7.202 0
2.566 5.344 7.202 0
2.566 5.344 7.202 0
2.566 5.344 7.202 0
2.566 5.344 7.202 0
2.566 5.344 7.202 0
2.566 5.344 7.202 0
2.279 5.267 8.083 8
2.451 5.305 8.236 10
2.47 5.286 7.853 1
2.47 5.286 7.853 10
2.394 5.344 7.738 9
2.221 5.286 7.661 0
2.221 5.286 7.661 10
2.221 5.382 7.623 10
2.394 5.612 7.565 0
2.394 5.612 7.565 10
2.547 5.918 7.527 10
2.758 6.091 7.623 1
2.758 6.091 7.623 10
2.106 6.014 7.202 0
2.106 6.014 7.202 10
1.877 5.88 6.914 10
2.087 5.803 7.01 10
1.915 5.631 7.163 2
1.915 5.631 7.163 10
1.857 5.65 6.895 9
1.915 5.669 6.991 9
2.126 5.669 7.125 0
2.126 5.669 7.125 10
2.624 5.918 7.259 9
2.681 5.918 7.087 0
2.681 5.918 7.087 10
2.739 6.263 6.857 1
2.739 6.263 6.857 10
2.547 6.474 7.067 0
2.547 6.474 7.067 10
2.336 6.263 7.47 10
2.26 5.956 7.508 0
2.26 5.956 7.508 10
2.068 5.688 7.336 0
2.068 5.688 7.336 10
2.298 5.631 7.221 9
2.279 5.707 7.125 1
2.279 5.707 7.125 10
1.877 5.842 7.393 10
2.106 5.803 7.585 9
2.241 5.803 7.585 1
2.241 5.803 7.585 10
2.221 5.784 7.623 10
2.087 5.842 7.623 0
2.087 5.842 7.623 10
2.087 5.88 7.623 10
2.068 5.88 7.719 9
1.915 5.707 7.623 1
1.915 5.707 7.623 10
1.838 5.554 7.374 9
1.877 5.573 7.182 1
1.877 5.573 7.182 10
1.896 5.554 7.087 9
1.628 5.458 7.01 10
1.494 5.344 7.297 1
1.494 5.344 7.297 10
2.049 5.095 7.163 9
0.498 5.784 7.623 0
0.498 5.784 7.623 10
1.474 5.88 7.278 1
1.474 5.88 7.278 10
1.877 5.612 7.24 9
1.666 5.612 7.642 1
1.666 5.612 7.642 10
1.398 5.669 7.68 10
1.225 5.631 7.508 0
1.225 5.631 7.508 10
1.264 5.822 7.259 10
0.919 5.822 7.067 10
0.191 5.861 6.665 0
0.191 5.861 6.665 10
0.287 5.822 6.435 9
0.938 4.922 4.807 0
0.938 4.922 4.807 10
0.383 5.229 5.267 1
0.383 5.229 5.267 10
1.168 5.516 5.401 9
3.907 5.439 5.727 1
3.907 5.439 5.727 10
5.956 5.478 7.24 9
2.509 5.535 7.125 10
0.842 5.937 7.489 1
0.842 5.937 7.489 10
2.049 5.899 7.795 9
3.179 5.937 7.412 0
3.179 5.937 7.412 10
-1.264 3.754 4.96 0
-1.264 3.754 4.96 10
-4.922 2.624 4.06 10
-0.996 5.401 8.408 1
-0.996 5.401 8.408 10
2.796 4.29 3.85 9
4.731 4.252 5.535 10
