# Accelerometer Data File
# Started @Tue May 03 09:23:04 MESZ 2016
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.019140625m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
6.34 4.175 5.803 10
7.048 4.156 5.286 10
7.048 4.233 5.593 10
7.182 3.773 5.305 0
7.182 3.773 5.305 10
6.723 4.194 5.899 10
6.646 4.52 5.765 0
6.646 4.52 5.765 10
6.972 4.635 5.478 1
6.972 4.635 5.478 10
7.106 4.309 5.018 9
7.297 3.581 4.328 10
7.489 3.294 4.099 10
7.182 3.102 4.807 0
7.182 3.102 4.807 10
6.531 3.505 6.914 10
6.991 3.888 7.355 0
6.991 3.888 7.355 10
7.68 3.984 5.324 10
7.316 4.041 4.75 10
7.68 3.869 4.118 0
7.68 3.869 4.118 10
7.949 3.773 3.409 1
7.949 3.773 3.409 10
7.508 3.294 3.352 9
8.178 3.313 2.719 8
8.561 3.735 3.007 2
9.194 3.237 2.547 10
8.676 2.796 2.298 10
7.68 3.064 3.083 0
7.68 3.064 3.083 10
7.412 3.754 4.769 10
7.412 3.754 4.769 10
7.412 3.754 4.769 0
8.217 3.371 4.482 1
8.217 3.371 4.482 10
8.753 3.217 4.252 9
8.715 3.122 4.424 10
8.868 2.528 4.462 1
8.868 2.528 4.462 10
9.941 2.087 4.002 0
9.941 2.087 4.002 10
10.726 1.494 1.628 9
11.454 1.264 -0.172 10
12.909 1.398 -2.643 10
13.35 1.857 -5.209 0
13.35 1.857 -5.209 10
9.768 1.149 -10.132 0
9.768 1.149 -10.132 10
8.083 3.16 -2.202 10
7.795 3.792 0.421 0
7.795 3.792 0.421 10
7.776 4.903 0.153 10
7.527 4.826 0.229 0
7.527 4.826 0.229 10
6.34 3.754 -0.21 10
5.458 3.045 3.907 9
9.5 3.428 5.516 1
9.5 3.428 5.516 10
8.062 2.183 0.095 0
8.062 2.183 0.095 10
7.393 2.087 -1.417 0
7.393 2.087 -1.417 10
6.359 3.332 -5.401 10
6.608 4.137 -5.956 9
6.359 3.256 -7.661 1
6.359 3.256 -7.661 10
6.55 0.881 -11.358 10
7.374 0.9 -11.224 2
7.374 0.9 -11.224 10
10.056 2.336 -7.757 7
8.255 3.466 -4.692 3
8.255 3.466 -4.692 10
6.972 3.466 -4.922 8
5.573 2.834 -7.125 10
4.156 2.26 -8.81 10
3.658 2.355 -8.159 10
4.233 2.604 -7.412 10
4.807 3.16 -8.772 0
4.807 3.16 -8.772 10
5.171 3.16 -9.615 10
4.865 2.853 -10.534 9
5.229 2.451 -10.803 10
4.96 1.8 -10.803 0
4.96 1.8 -10.803 10
4.271 1.455 -10.822 10
1.685 1.398 -9.672 1
1.685 1.398 -9.672 10
1.685 1.398 -9.672 10
2.126 1.091 -8.657 10
1.245 1.685 -9.27 9
0.344 1.647 -11.664 1
0.344 1.647 -11.664 10
-1.053 1.857 -13.388 9
0.114 0.517 -11.147 1
0.114 0.517 -11.147 10
0.536 0.038 -12.028 9
-0.057 -0.153 -12.239 10
-0.363 0.229 -11.952 0
-0.363 0.229 -11.952 10
-1.302 0.9 -11.818 1
-1.302 0.9 -11.818 10
-2.336 0.9 -11.013 9
-4.348 0.44 -9.117 0
-4.348 0.44 -9.117 10
-4.692 -0.076 -7.106 1
-4.692 -0.076 -7.106 10
-4.06 -0.019 -5.171 0
-4.06 -0.019 -5.171 10
-1.187 1.513 -5.535 9
0.076 2.547 -5.669 1
0.076 2.547 -5.669 10
-0.785 2.202 -4.118 9
-2.93 0.038 -5.707 10
-2.7 -1.455 -10.362 1
-2.7 -1.455 -10.362 10
0.153 -0.823 -12.048 0
0.153 -0.823 -12.048 10
-0.172 -2.739 -10.439 9
1.302 -3.256 -7.757 1
1.302 -3.256 -7.757 10
2.796 -2.681 -7.508 9
2.777 -2.777 -6.148 10
0.996 -2.968 -6.704 1
0.996 -2.968 -6.704 10
1.877 -3.332 -8.332 0
1.877 -3.332 -8.332 10
4.501 -4.52 -8.81 9
6.071 -4.999 -6.895 1
6.071 -4.999 -6.895 10
7.125 -7.01 -5.171 0
7.125 -7.01 -5.171 10
7.412 -8.178 -4.903 10
3.198 -6.78 -5.727 0
3.198 -6.78 -5.727 10
-1.168 -4.252 -7.527 0
-1.168 -4.252 -7.527 10
-0.325 -5.171 -6.761 9
0.9 -7.048 -4.846 1
0.9 -7.048 -4.846 10
3.811 -6.493 -4.98 10
6.34 -7.738 -6.378 10
7.259 -8.024 -5.669 0
7.259 -8.024 -5.669 10
7.336 -8.043 -5.554 0
7.336 -8.043 -5.554 10
5.344 -8.715 -2.949 9
4.558 -9.615 -2.758 10
6.052 -9.481 -3.62 10
6.454 -10.726 -4.002 1
6.454 -10.726 -4.002 10
6.244 -11.799 -3.83 0
6.244 -11.799 -3.83 10
8.849 -9.481 -8.37 0
8.849 -9.481 -8.37 10
7.24 -9.557 -8.005 10
8.255 -8.408 -8.427 0
8.255 -8.408 -8.427 10
9.098 -7.316 -8.925 0
9.098 -7.316 -8.925 10
13.484 -4.941 -9.692 10
15.495 -5.401 -7.623 10
15.036 -12.028 -11.837 0
15.036 -12.028 -11.837 10
17.545 -11.128 -17.258 10
16.472 -2.834 -19.767 0
16.472 -2.834 -19.767 10
17.009 -1.015 -20.284 9
13.599 -4.941 -13.637 0
13.599 -4.941 -13.637 10
10.094 -8.734 -6.34 1
10.094 -8.734 -6.34 10
9.653 -9.557 -3.352 9
10.86 -7.872 -0.938 0
10.86 -7.872 -0.938 10
10.458 -7.067 -0.229 10
8.638 -5.056 0.727 0
8.638 -5.056 0.727 10
6.589 -4.616 0.919 0
6.589 -4.616 0.919 10
