# Accelerometer Data File
# Started @Sat May 21 12:13:27 MESZ 2016
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.019140625m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
1.187 4.941 7.949 0
0.191 4.367 8.043 9
0.651 4.041 7.47 1
0.651 4.041 7.47 10
1.513 4.386 6.933 10
1.589 4.539 6.857 9
0.785 4.462 6.818 1
0.785 4.462 6.818 10
0.593 4.462 7.087 10
0.881 4.692 7.776 0
0.881 4.692 7.776 10
1.034 5.229 8.81 10
1.053 5.229 8.024 10
0.459 5.152 6.933 0
0.459 5.152 6.933 10
0.172 5.612 7.355 9
0.708 5.458 8.274 1
0.708 5.458 8.274 10
0.976 5.248 8.121 0
0.976 5.248 8.121 10
2.719 4.348 6.359 10
1.992 4.021 7.623 0
1.992 4.021 7.623 10
1.608 4.539 7.7 10
1.494 4.788 6.11 0
1.494 4.788 6.11 10
1.723 4.884 5.65 10
1.877 5.056 5.516 10
1.819 5.209 6.225 0
1.819 5.209 6.225 10
1.455 5.152 6.225 10
1.608 5.899 6.359 9
1.417 6.033 7.067 1
1.417 6.033 7.067 10
-0.114 4.711 7.7 9
1.819 4.405 5.842 10
2.145 3.409 7.048 1
2.145 3.409 7.048 10
1.704 3.466 8.351 9
1.589 4.539 8.849 1
1.589 4.539 8.849 10
1.8 5.286 8.408 9
1.762 5.267 7.24 1
1.762 5.267 7.24 10
1.8 4.692 6.838 0
1.8 4.692 6.838 10
1.513 4.386 6.799 9
1.551 4.558 6.071 1
1.551 4.558 6.071 10
1.436 4.52 5.631 9
1.359 4.654 6.34 10
1.149 4.635 6.972 1
1.149 4.635 6.972 10
0.919 4.482 8.236 10
0.881 4.367 9.615 0
0.881 4.367 9.615 10
0.766 4.309 10.17 10
1.11 4.673 9.347 10
1.11 4.616 9.002 0
1.11 4.616 9.002 10
1.225 4.616 8.734 0
1.225 4.616 8.734 10
1.283 4.501 8.696 0
1.283 4.501 8.696 10
1.13 4.424 8.715 10
0.976 4.52 8.389 0
0.976 4.52 8.389 10
1.072 4.539 8.37 0
1.072 4.539 8.37 10
1.245 4.501 8.083 0
1.245 4.501 8.083 10
1.187 4.482 8.274 10
1.168 4.348 8.159 10
1.015 4.309 8.043 9
1.34 4.367 8.198 1
1.34 4.367 8.198 10
1.321 4.482 8.427 9
1.494 4.52 8.561 1
1.494 4.52 8.561 10
1.436 4.52 8.447 10
1.474 4.558 8.255 0
1.474 4.558 8.255 10
1.283 4.597 8.083 0
1.283 4.597 8.083 10
1.13 4.635 7.891 0
1.13 4.635 7.891 10
1.072 4.539 7.949 0
1.072 4.539 7.949 10
1.436 4.462 8.715 10
1.474 4.807 8.868 10
1.494 4.731 8.849 9
1.321 4.386 8.734 1
1.321 4.386 8.734 10
1.302 4.348 7.968 10
0.996 4.309 8.447 9
1.302 4.501 8.083 0
1.302 4.501 8.083 10
1.245 4.482 7.834 1
1.245 4.482 7.834 10
1.11 4.424 7.872 9
1.034 4.271 8.274 2
1.034 4.271 8.274 10
0.9 4.386 8.332 8
1.13 4.462 8.14 1
1.13 4.462 8.14 10
1.187 4.462 8.14 10
1.206 4.539 7.853 9
1.11 4.405 7.68 1
1.11 4.405 7.68 10
1.053 4.367 7.68 10
1.149 4.501 7.776 0
1.149 4.501 7.776 10
1.187 4.52 7.738 10
1.168 4.558 7.929 0
1.168 4.558 7.929 10
1.034 4.539 7.814 10
0.651 4.501 7.47 0
0.651 4.501 7.47 10
0.574 4.539 7.546 10
0.555 4.577 7.585 0
0.555 4.577 7.585 10
0.785 4.654 7.565 10
0.938 4.711 7.451 10
1.015 4.865 8.005 9
0.938 4.731 7.949 1
0.938 4.731 7.949 10
0.996 4.386 8.14 0
0.996 4.386 8.14 10
0.919 4.501 8.062 9
1.091 4.616 7.968 1
1.091 4.616 7.968 10
1.053 4.29 7.795 0
1.053 4.29 7.795 10
0.976 4.137 8.083 10
1.015 3.964 8.925 0
1.015 3.964 8.925 10
1.053 4.06 8.504 10
1.283 4.233 8.657 0
1.283 4.233 8.657 10
1.379 4.271 8.523 9
1.455 4.156 8.332 1
1.455 4.156 8.332 10
1.359 4.099 8.581 10
1.417 4.041 8.005 8
1.417 4.041 8.005 10
1.417 4.041 8.005 10
1.417 4.041 8.005 10
1.417 4.041 8.005 10
1.417 4.041 8.005 10
1.417 4.041 8.005 10
1.417 4.041 8.005 10
1.417 4.041 8.005 10
1.417 4.041 8.005 10
1.417 4.041 8.005 0
1.417 4.041 8.005 0
1.417 4.041 8.005 0
1.417 4.041 8.005 0
1.417 4.041 8.005 0
1.417 4.041 8.005 0
1.417 4.041 8.005 0
1.417 4.041 8.005 0
1.417 4.041 8.005 0
1.417 4.041 8.005 1
1.398 4.271 7.949 2
1.398 4.271 7.949 10
