# Accelerometer Data File
# Started @Tue May 03 09:22:12 MESZ 2016
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.019140625m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
-0.383 6.512 6.033 0
-0.383 6.933 6.11 0
-0.383 6.933 6.11 10
-0.249 6.78 6.589 9
0.363 6.512 7.163 1
0.363 6.512 7.163 10
0.574 6.301 7.278 10
0.344 6.454 6.972 10
0.0 6.359 6.512 0
0.0 6.359 6.512 10
-0.325 6.129 7.297 0
-0.325 6.129 7.297 10
-0.172 5.976 7.853 0
-0.172 5.976 7.853 10
-0.153 5.688 7.738 0
-0.153 5.688 7.738 10
0.21 5.573 7.623 10
0.9 5.612 7.489 0
0.9 5.612 7.489 10
0.574 5.478 7.125 0
0.574 5.478 7.125 10
0.651 5.535 6.78 10
0.727 5.573 6.646 9
0.747 5.612 6.761 10
0.766 5.593 7.048 1
0.766 5.593 7.048 10
0.536 5.707 6.857 0
0.536 5.707 6.857 10
0.459 5.861 6.359 10
0.057 5.956 6.11 0
0.057 5.956 6.11 10
-0.229 6.129 6.397 10
-0.67 6.091 6.454 10
0.038 6.014 6.474 0
0.038 6.014 6.474 10
-0.287 6.129 6.742 10
0.498 6.416 6.742 0
0.498 6.416 6.742 10
1.494 5.267 7.7 9
1.647 5.267 6.397 1
1.647 5.267 6.397 10
1.992 5.976 6.723 0
1.992 5.976 6.723 10
1.819 5.976 7.872 10
1.647 6.186 7.834 0
1.647 6.186 7.834 10
1.187 6.033 6.704 9
1.283 5.707 6.32 1
1.283 5.707 6.32 10
1.34 5.344 5.861 0
1.34 5.344 5.861 10
1.245 5.746 5.363 10
1.915 5.803 5.305 0
1.915 5.803 5.305 10
2.355 5.458 6.32 0
2.355 5.458 6.32 10
2.183 5.171 8.332 10
1.781 4.577 9.481 1
1.781 4.577 9.481 10
2.681 5.439 9.27 9
2.394 5.248 8.925 0
2.394 5.248 8.925 10
2.93 5.018 8.753 10
3.332 5.152 8.083 0
3.332 5.152 8.083 10
