#Comments starts with #
#Created by Program
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)
# units set to: m/sec^2

#labels start with "$" a or m [blank] type
#a = automatic, m manualexample "a undefined"
-0.459 2.413 8.791 1
-0.459 2.413 8.791 10
-0.459 2.375 8.619 0
-0.459 2.375 8.619 10
-0.517 2.355 8.657 9
-0.459 2.336 8.542 1
-0.459 2.336 8.542 10
-0.344 2.49 8.485 10
-0.555 2.26 8.198 0
-0.555 2.26 8.198 10
-0.612 2.509 8.485 10
-1.072 2.221 7.757 9
-0.919 2.604 8.619 1
-0.919 2.604 8.619 10
-0.306 3.083 6.799 10
-0.306 3.256 6.761 0
-0.306 3.256 6.761 10
2.777 4.271 8.121 10
-0.038 2.298 11.799 0
-0.038 2.298 11.799 10
-0.019 1.513 12.526 0
-0.019 1.513 12.526 10
0.019 0.421 10.285 4
0.019 0.421 10.285 10
-0.249 0.172 9.749 6
-0.268 0.402 8.043 10
-0.019 -0.727 10.803 9
-0.019 -0.727 10.803 10
-0.019 -0.727 10.803 10
-0.019 -0.727 10.803 10
-0.019 -0.727 10.803 10
-0.019 -0.727 10.803 10
-0.019 -0.727 10.803 10
-0.019 -0.727 10.803 10
-0.019 -0.727 10.803 10
-0.019 -0.727 10.803 10
-0.019 -0.727 10.803 0
-0.019 -0.727 10.803 0
-0.019 -0.727 10.803 0
-0.019 -0.727 10.803 0
-0.019 -0.727 10.803 0
-0.019 -0.727 10.803 0
-0.019 -0.727 10.803 0
-0.019 -0.727 10.803 0
-0.019 -0.727 10.803 0
-0.287 -0.996 10.439 1
-0.363 -1.245 9.826 10
-0.708 -1.302 8.983 0
-0.708 -1.302 8.983 10
0.632 -0.44 8.772 10
3.179 2.336 10.113 0
3.179 2.336 10.113 10
3.926 2.988 11.99 10
2.968 2.164 11.741 10
1.628 0.363 10.668 10
0.976 -0.785 10.86 0
0.976 -0.785 10.86 10
-1.398 -2.47 11.109 0
-1.398 -2.47 11.109 10
-0.9 -3.888 9.807 10
1.704 -2.336 9.883 0
1.704 -2.336 9.883 10
2.681 0.076 10.994 10
2.624 0.938 11.415 0
2.624 0.938 11.415 10
1.896 0.881 11.224 0
1.896 0.881 11.224 10
2.279 0.478 10.343 10
3.85 0.919 8.734 0
3.85 0.919 8.734 10
3.466 1.321 8.005 10
2.49 1.647 7.891 10
1.8 1.264 8.849 0
1.8 1.264 8.849 10
2.796 0.804 10.956 10
3.294 -0.804 13.235 0
3.294 -0.804 13.235 10
3.677 0.057 10.726 10
1.34 0.383 7.776 0
1.34 0.383 7.776 10
2.145 0.766 7.259 0
2.145 0.766 7.259 10
2.853 1.053 6.933 0
2.853 1.053 6.933 10
3.083 1.762 7.412 0
3.083 1.762 7.412 10
3.083 2.01 8.198 10
3.505 1.838 8.887 10
3.639 1.781 9.557 0
3.639 1.781 9.557 10
3.696 2.068 10.056 10
2.777 1.225 9.194 0
2.777 1.225 9.194 10
3.792 2.241 9.998 10
3.888 2.298 9.634 10
3.179 1.551 10.879 0
3.179 1.551 10.879 10
3.945 0.881 12.929 0
3.945 0.881 12.929 10
3.735 1.168 12.641 3
3.735 1.168 12.641 10
3.984 1.685 11.645 7
3.792 1.704 11.147 10
2.758 1.704 9.519 0
2.758 1.704 9.519 10
2.585 1.723 8.427 10
2.164 1.494 8.178 0
2.164 1.494 8.178 10
1.896 1.359 8.657 10
1.359 1.034 9.232 10
1.245 0.919 9.921 0
1.245 0.919 9.921 10
1.053 1.13 9.998 10
0.938 1.359 10.324 0
0.938 1.359 10.324 10
